User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAZZ4ITADOSJBIKUDJ,2022-11-10T06:39:26Z,cloudtrail.amazonaws.com,PutEventSelectors,ap-northeast-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-northeast-1:674059452637:trail/Udacity_Trail""}]",a37edbf8-adde-4c33-ae70-697969a96e00,280e1cdf-8375-407e-b550-2fbd6e571e30,false,AwsApiCall,674059452637,Management
CloudTrail,ASIAZZ4ITADOSJBIKUDJ,2022-11-10T06:39:26Z,cloudtrail.amazonaws.com,CreateTrail,ap-northeast-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-northeast-1:674059452637:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-674059452637-c1d3c925""}]",b55f2c2c-4ac3-4d53-ba30-e8ca4b0a9536,7dd676a1-100f-42d6-9d59-81eb7db6a7e8,false,AwsApiCall,674059452637,Management
CloudTrail,ASIAZZ4ITADOSJBIKUDJ,2022-11-10T06:39:26Z,cloudtrail.amazonaws.com,StartLogging,ap-northeast-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-northeast-1:674059452637:trail/Udacity_Trail""}]",8fc26e79-ed3e-4ed3-a178-f1fa5f4b46b4,af386744-68a2-4622-92df-7c3802865c31,false,AwsApiCall,674059452637,Management
CloudTrail,ASIAZZ4ITADOSJBIKUDJ,2022-11-10T06:39:25Z,s3.amazonaws.com,PutBucketPublicAccessBlock,ap-northeast-1,116.110.43.89,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.209-129.367.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-674059452637-c1d3c925""}]",1R0FC5FTZEC9SMX6,18361ee9-2ce3-476c-8433-31040f6673fc,false,AwsApiCall,674059452637,Management
CloudTrail,ASIAZZ4ITADOSJBIKUDJ,2022-11-10T06:39:25Z,s3.amazonaws.com,CreateBucket,ap-northeast-1,116.110.43.89,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.209-129.367.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-674059452637-c1d3c925""}]",CKK92Y678K6SV0RZ,ac3b19ce-5a1a-4916-b8c8-58188fed0c1f,false,AwsApiCall,674059452637,Management
CloudTrail,ASIAZZ4ITADOSJBIKUDJ,2022-11-10T06:39:25Z,s3.amazonaws.com,PutBucketPolicy,ap-northeast-1,116.110.43.89,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.209-129.367.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-674059452637-c1d3c925""}]",1R03MWAKV17997PV,f8fa6355-55a6-461a-acb0-a8c12019bac0,false,AwsApiCall,674059452637,Management
CloudTrail,,2022-11-10T06:39:04Z,signin.amazonaws.com,ConsoleLogin,ap-northeast-1,116.110.43.89,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",,[],,6706ae5c-53c6-4c3f-8945-a7d9bdf669db,false,AwsConsoleSignIn,674059452637,Management
CloudTrail,ASIAZZ4ITADOXAG4EBPF,2022-11-10T04:47:06Z,cloudtrail.amazonaws.com,DeleteTrail,ap-northeast-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-northeast-1:674059452637:trail/Udacity_Trail""}]",974e0fc5-317e-417e-9c80-c4f48cf6dac3,e4e2ed0e-cb61-4ae7-9018-ce1d14ad0afa,false,AwsApiCall,674059452637,Management
CloudTrail,ASIAZZ4ITADOXAG4EBPF,2022-11-10T04:46:04Z,s3.amazonaws.com,PutBucketPublicAccessBlock,ap-northeast-1,116.110.43.89,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.209-129.367.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-674059452637-36329802""}]",CJXKAG4XG4N1MFN0,2da5fa4c-5320-4145-ab44-fb68d6e10448,false,AwsApiCall,674059452637,Management
CloudTrail,ASIAZZ4ITADOXAG4EBPF,2022-11-10T04:46:04Z,cloudtrail.amazonaws.com,PutEventSelectors,ap-northeast-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-northeast-1:674059452637:trail/Udacity_Trail""}]",081817ea-f7a5-429d-8d1a-3c980c063d4a,4867e5a3-ee91-4481-9b3b-c4b566316452,false,AwsApiCall,674059452637,Management
